_type,_id,name,type,latitude,longitude
Key _type not found,376217,Berlin,location,52.52437,13.41053
Key _type not found,448103,Berlingo,location,45.50298,10.04366
Key _type not found,425332,Berlingerode,location,51.45775,10.2384
Key _type not found,425326,Bernau bei Berlin,location,52.67982,13.58708
Key _type not found,314826,Berlin Tegel,airport,52.5548,13.28903
Key _type not found,314827,Berlin Schönefeld,airport,52.3887261,13.5180874
